#{"t_start": 1777359913.5433447, "env_id": "Pendulum-v1"}
r,l,t
-855.653584,200,2.006251
-1012.982355,200,2.138178
-862.981331,200,2.264148
-847.061395,200,2.391425
-1234.732223,200,2.538897
-1336.769525,200,2.664875
-874.114649,200,2.788249
-866.469579,200,2.914324
-1329.322248,200,3.03722
-1066.107182,200,3.167287
-1441.779973,200,5.342271
-1608.254247,200,5.484318
-1777.403701,200,5.606338
-1673.434468,200,5.729663
-830.80994,200,5.860597
-1658.547898,200,6.010383
-1497.518498,200,6.160226
-1120.524424,200,6.284667
-1737.719231,200,6.406386
-1099.011776,200,6.527753
-1489.944813,200,8.633369
-1599.483411,200,8.783242
-1457.946065,200,8.912828
-930.963938,200,9.033303
-1815.710855,200,9.170043
-868.037429,200,9.301467
-1493.428451,200,9.426086
-1316.549026,200,9.547569
-1313.69684,200,9.670463
-1613.377957,200,9.800328
-1203.049109,200,11.784851
-1189.85652,200,11.978707
-780.942918,200,12.131274
-1412.475094,200,12.280594
-1070.30299,200,12.450625
-1270.174241,200,12.608461
-990.973853,200,12.765631
-865.913854,200,12.928705
-1067.002211,200,13.079252
-1129.490629,200,13.22383
-1699.528516,200,15.488215
-956.274045,200,15.704254
-903.054347,200,15.872236
-1252.407929,200,16.059234
-1371.354816,200,16.23262
-1325.009888,200,16.400234
-969.562371,200,16.578262
-896.935012,200,16.731931
-906.456548,200,16.879586
-1282.853078,200,17.021448
-1404.201151,200,17.160658
-1051.234208,200,19.281273
-1135.281873,200,19.469224
-1364.787241,200,19.647182
-1204.18597,200,19.805816
-1014.257961,200,19.959917
-1079.706095,200,20.125668
-1224.402872,200,20.288574
-1049.390607,200,20.481331
-1006.58309,200,20.648529
-981.124727,200,20.800946
-981.511246,200,22.958847
-1103.643983,200,23.139688
-990.952161,200,23.299826
-903.030434,200,23.449271
-1001.916287,200,23.590313
-988.588874,200,23.728914
-1260.881838,200,23.870317
-1065.786859,200,24.024645
-1075.007902,200,24.20699
-1053.141872,200,24.372541
-967.72051,200,27.06014
-956.835563,200,27.278997
-1078.604858,200,27.446218
-982.319465,200,27.598359
-606.921956,200,27.743529
-891.355509,200,27.893388
-1188.231448,200,28.044358
-1017.314254,200,28.189569
-865.221582,200,28.331853
-958.070885,200,28.471114
-864.002378,200,30.740648
-986.481769,200,31.016357
-752.942324,200,31.217332
-877.384965,200,31.390414
-898.974219,200,31.544915
-1353.528309,200,31.694729
-978.203115,200,31.852223
-1243.645096,200,32.011055
-865.847037,200,32.165863
-943.86303,200,32.313946
-1181.859347,200,32.454079
-904.078805,200,34.742922
-1071.013075,200,34.920667
-881.031815,200,35.077592
-680.728784,200,35.224322
-833.297636,200,35.379132
-894.785344,200,35.525695
-746.773993,200,35.666959
-758.008288,200,35.804769
-870.967241,200,35.958676
-876.066732,200,36.105826
-512.200714,200,38.265002
-793.740729,200,38.476441
-761.450996,200,38.680194
-744.40028,200,38.846173
-709.839381,200,39.001511
-902.262213,200,39.147685
-1098.270305,200,39.287554
-644.097841,200,39.422964
-884.62728,200,39.572703
-682.440149,200,39.710449
-765.935852,200,41.846997
-513.782658,200,42.057233
-511.746621,200,42.254193
-889.036875,200,42.431891
-639.177809,200,42.613189
-643.988635,200,42.770227
-749.227544,200,43.006309
-628.47162,200,43.164708
-642.038751,200,43.312859
-630.105396,200,43.454615
-479.202232,200,45.655227
-390.335647,200,45.848535
-848.980224,200,46.022917
-507.674066,200,46.192197
-528.065903,200,46.362516
-994.228146,200,46.546744
-382.034762,200,46.717472
-634.100071,200,46.872937
-410.708881,200,47.019862
-763.451484,200,47.158997
-384.085689,200,47.295779
-669.534608,200,49.483332
-384.374056,200,49.661206
-128.224987,200,49.838416
-385.095595,200,50.004701
-391.576369,200,50.17368
-250.862744,200,50.340913
-261.117025,200,50.516671
-601.62473,200,50.673417
-646.748031,200,50.820116
-386.229888,200,50.964861
-518.489516,200,53.197335
-1.44865,200,53.390833
-775.851384,200,53.554834
-261.072808,200,53.704316
-444.626638,200,53.848696
-391.579542,200,54.005634
-536.988493,200,54.177217
-776.296201,200,54.350408
-261.493913,200,54.525675
-550.243814,200,54.679485
-255.127996,200,56.860392
-133.281965,200,57.061051
-253.902466,200,57.218394
-125.494569,200,57.364742
-258.721302,200,57.505336
-523.897198,200,57.642589
-376.253597,200,57.780717
-263.579773,200,57.943783
-918.767013,200,58.110391
-525.065695,200,58.268215
-977.64308,200,60.528608
-529.386702,200,60.729923
-393.429994,200,60.893893
-124.061312,200,61.058483
-130.924696,200,61.208205
-409.606661,200,61.351143
-128.22631,200,61.4916
-2.774831,200,61.628268
-485.299225,200,61.763807
-129.439529,200,61.909666
-128.958793,200,62.063159
-561.527458,200,64.39346
-5.273696,200,64.58928
-643.33641,200,64.772972
-393.575806,200,64.950671
-130.175625,200,65.124305
-4.07335,200,65.293653
-134.441042,200,65.501469
-703.614626,200,65.705016
-274.604634,200,65.895118
-133.159991,200,66.092324
-384.510191,200,68.33213
-133.338777,200,68.510822
-260.850292,200,68.665223
-129.744637,200,68.811495
-542.823207,200,68.950466
-280.505743,200,69.10086
-132.038952,200,69.250138
-864.26314,200,69.39034
-259.547983,200,69.52711
-259.819113,200,69.662358
-263.216767,200,71.951236
-260.072973,200,72.177403
-2.14635,200,72.367907
-740.888065,200,72.543819
-1507.436665,200,72.71532
-668.519108,200,72.885658
-251.921647,200,73.053543
-261.368143,200,73.205591
-271.254191,200,73.353773
-128.979553,200,73.493264
-259.325174,200,75.828838
-130.649029,200,76.055955
-132.166157,200,76.226437
-270.471582,200,76.379838
-680.91449,200,76.52722
-2.816202,200,76.670067
-131.691643,200,76.819932
-134.904685,200,76.966838
-131.714037,200,77.107139
-4.593634,200,77.243721
-412.666009,200,77.376672
-1197.794943,200,79.808063
-270.847236,200,79.982544
-264.655418,200,80.146765
-1162.807435,200,80.299784
-251.240495,200,80.457558
-131.552142,200,80.610255
-267.463384,200,80.753107
-254.767028,200,80.895936
-1256.605262,200,81.037248
-1358.027696,200,81.18334
-1199.708096,200,83.430619
-258.117388,200,83.618119
-129.766684,200,83.774224
-1197.582085,200,83.928946
-125.685547,200,84.082976
-2.362581,200,84.231419
-1219.803055,200,84.374121
-252.200745,200,84.51287
