#{"t_start": 1779877748.8352158, "env_id": "LunarLander-v3"}
r,l,t
-39.192321,72,0.170578
-173.649788,77,0.286859
-429.581672,102,0.358803
-85.740593,99,0.437527
-51.102175,92,0.504207
-388.846101,121,0.614436
-276.947573,100,0.728106
-399.470307,87,0.790056
-49.729033,81,0.841407
-286.730258,90,0.938893
-307.537989,105,1.03792
-172.370909,153,1.137433
-310.142578,106,1.258918
-172.504467,138,1.353778
-428.588048,99,1.437425
-127.046762,88,1.533165
-354.188367,129,1.62446
-266.459123,130,1.741932
-305.65369,110,1.822385
-454.356544,164,4.357673
-159.55539,121,4.486072
-85.72421,80,4.552976
-275.094289,137,4.652799
-568.930254,188,4.836149
-102.472074,102,4.902559
-177.143506,111,4.990067
-165.475763,119,5.069263
-440.970661,89,5.135783
-339.99355,112,5.219147
-425.645554,84,5.269146
-486.59267,114,5.369288
-326.178853,192,5.553493
-477.112407,142,5.669152
-122.157893,276,5.968971
-41.596701,88,8.24595
-93.572542,87,8.383298
-29.202984,79,8.49589
-13.242051,195,8.69679
-372.818805,181,8.872003
-401.94055,107,8.971788
-61.506688,128,9.08799
-157.824029,174,9.24349
-208.913583,129,9.351236
-44.352747,133,9.467786
-199.599732,118,9.567751
-184.102624,80,9.634377
-43.324459,116,9.734349
-43.558889,127,9.846243
-485.751094,139,9.950918
-71.399345,77,10.017355
-430.61305,92,10.084299
-107.222015,113,12.604855
-475.163523,135,12.783713
-111.138842,80,12.873026
-176.33792,116,13.004494
-119.112342,163,13.151792
-32.059717,83,13.234169
-197.428441,152,13.371686
-163.828748,115,13.450637
-25.616459,124,13.550487
-260.562904,197,13.723802
-316.418116,116,13.856423
-207.055966,141,13.974882
-302.843861,117,14.080001
-74.981164,226,14.265608
-124.011856,130,14.367329
-238.91284,124,14.494886
-275.64349,137,17.137434
-71.598985,96,17.222281
-134.08814,154,17.349105
-86.156985,118,17.460189
-47.229117,82,17.530461
-63.359425,173,17.681135
-186.869039,193,17.840267
-117.669052,315,18.078822
-86.662624,201,18.23297
-6.050958,110,18.318501
-98.183077,214,18.483916
-294.90565,98,18.557316
-289.162261,110,18.636232
-242.336954,109,21.314653
-50.802654,120,21.454599
-334.802438,156,21.59185
-147.989519,153,21.724472
-67.91621,128,21.853897
-165.534156,224,22.04389
-287.021976,102,22.153037
-55.058474,122,22.268585
-152.87778,153,22.392739
-9.628349,116,22.48317
-133.214357,208,22.639078
-173.454716,168,22.811389
-135.333252,93,22.907632
-138.043159,104,22.996262
-148.757487,224,25.440757
-263.685129,151,25.627745
-314.237062,192,25.838223
-387.320878,141,25.972506
-256.406108,218,26.162314
-107.937534,169,26.305794
-205.417732,283,26.546802
-216.290144,146,26.703044
-280.527377,179,26.891093
-19.242476,119,26.990727
-199.080895,134,27.105984
-56.280876,113,27.200186
-145.224327,107,27.287059
-52.373496,112,29.956333
-73.794653,208,30.307493
-41.663615,113,30.444243
-232.730507,238,30.707014
-91.370141,176,30.912997
-92.231754,113,31.186497
-425.474513,232,31.453896
-257.122608,159,31.61872
-408.133176,329,31.980875
-148.522407,95,32.075648
-123.023415,263,32.323133
-56.761535,146,34.823344
-91.581651,167,35.015575
-176.553757,242,35.273411
-128.798589,167,35.616998
-94.778762,154,36.047748
-44.74624,127,36.235144
-295.599279,283,36.742127
-78.582381,298,37.105744
-210.63915,114,37.203916
-56.595504,269,37.415576
-6.88038,188,40.747834
-130.031184,190,41.162458
-37.59962,136,41.480174
15.737512,99,41.891527
-186.544963,182,42.288001
-17.928014,158,42.67038
-165.752208,94,42.953975
-30.952135,123,43.249014
-332.04187,235,43.790471
-21.49022,127,44.072323
-25.14661,134,44.288102
-278.95367,109,44.42162
-290.191515,245,44.668162
-70.661539,93,44.770256
-221.899943,473,50.172787
-28.183151,115,50.428367
-352.685966,325,50.978495
-356.912157,247,51.422478
-319.571199,241,51.808482
